"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez_id","entrez","go","path"
"ENSG00000088888",2360.06169804535,-0.576958360709979,0.0930356662713756,-6.20147502385859,5.59363984508179e-10,2.1633182649111e-09,"MAVS","57506","mitochondrial antiviral signaling protein","GO:0000151","04622"
"ENSG00000135164",2766.09729338502,0.554982817577455,0.0894953270522361,6.20124911386184,5.60167635821245e-10,2.1656074448542e-09,"DMTF1","9988","cyclin D binding myb like transcription factor 1","GO:0000978",NA
"ENSG00000161944",27.7365256943748,-8.42453691633873,1.35852011862948,-6.2012603279204,5.60127716412207e-10,2.1656074448542e-09,"ASGR2","433","asialoglycoprotein receptor 2","GO:0004873",NA
"ENSG00000134516",69.834994513472,-2.65138187153389,0.427590263206455,-6.20075361784773,5.61934259022194e-10,2.1720266946899e-09,"DOCK2","1794","dedicator of cytokinesis 2","GO:0001766","04062"
"ENSG00000116350",2975.73628190518,-0.534272030657205,0.0861740690915024,-6.19991647475644,5.64931337485822e-10,2.18319866016862e-09,"SRSF4","6429","serine and arginine rich splicing factor 4","GO:0000375","03040"
"ENSG00000160972",314.174547714098,0.870660662852987,0.140436181494141,6.1996890942902,5.65748078426606e-10,2.18594199928527e-09,"PPP1R16A","84988","protein phosphatase 1 regulatory subunit 16A","GO:0004857",NA
"ENSG00000135597",1268.32164035581,-0.602526380968118,0.0971895864771246,-6.19949526289973,5.66445222163921e-10,2.18822228883154e-09,"REPS1","85021","RALBP1 associated Eps domain containing 1","GO:0005509",NA
"ENSG00000179409",802.638122723929,-0.721080810204635,0.116328736559266,-6.19864731219929,5.69504871797002e-10,2.19962653938967e-09,"GEMIN4","50628","gem nuclear organelle associated protein 4","GO:0000387","03013"
"ENSG00000133710",681.394082005387,0.896918900848592,0.144697713671378,6.19856995726676,5.69784791933098e-10,2.2002922255978e-09,"SPINK5","11005","serine peptidase inhibitor Kazal type 5","GO:0002787",NA
"ENSG00000117643",450.470640386084,-0.961296058649976,0.155162485129499,-6.1954154565627,5.81314890873771e-10,2.24439337350377e-09,"MAN1C1","57134","mannosidase alpha class 1C member 1","GO:0000139","00510"
"ENSG00000132932",184.986811446198,1.29668960303332,0.209308843077539,6.19510185985291,5.82473490705144e-10,2.24844220652458e-09,"ATP8A2","51761","ATPase phospholipid transporting 8A2","GO:0000139",NA
"ENSG00000213445",438.170604430302,-0.898420272607502,0.145047679824128,-6.19396514095811,5.86692075869098e-10,2.26429932300045e-09,"SIPA1","6494","signal-induced proliferation-associated 1","GO:0002250","04670"
"ENSG00000198960",504.456209260553,-0.80081823129071,0.129309050803195,-6.19305629665112,5.90086407181707e-10,2.27696990358457e-09,"ARMCX6","54470","armadillo repeat containing X-linked 6","GO:0005739",NA
"ENSG00000140092",128.674480274492,-2.50803223784389,0.40501283266673,-6.19247597990965,5.92263776837016e-10,2.28494069317261e-09,"FBLN5","10516","fibulin 5","GO:0000122",NA
"ENSG00000174243",2548.58707547689,-0.586048905072621,0.0946459188963936,-6.19201453064398,5.94000744725411e-10,2.29120973663177e-09,"DDX23","9416","DEAD-box helicase 23","GO:0000166","03040"
"ENSG00000158445",107.483159390685,1.62502788534403,0.262453681941202,6.19167493983982,5.95282192032325e-10,2.29571969042632e-09,"KCNB1","3745","potassium voltage-gated channel subfamily B member 1","GO:0000149","04742"
"ENSG00000130311",705.902529341894,-0.84697997312945,0.136807090614292,-6.19105317806508,5.97635406782177e-10,2.30436046102345e-09,"DDA1","79016","DET1 and DDB1 associated 1","GO:0000209",NA
"ENSG00000160211",509.23498852639,-0.829489700415663,0.134002333725015,-6.19011383874742,6.01207798301308e-10,2.31769798610126e-09,"G6PD","2539","glucose-6-phosphate dehydrogenase","GO:0004345","00030"
"ENSG00000309565",57.5407153440109,2.54999503068261,0.412043842676859,6.18864976628815,6.06817380128265e-10,2.33888251564418e-09,"LOC105376267","105376267","uncharacterized LOC105376267",NA,NA
"ENSG00000153896",156.127886577041,1.18405001319265,0.1913691007208,6.18725807213848,6.12196971716026e-10,2.35917276873612e-09,"ZNF599","148103","zinc finger protein 599","GO:0000977",NA
"ENSG00000132122",445.862642935972,0.824436222902004,0.133260460364427,6.18665297003644,6.14550481341225e-10,2.3677962131917e-09,"SPATA6","54558","spermatogenesis associated 6","GO:0005515",NA
"ENSG00000170703",34.217909392454,-2.75436069970425,0.44522665151401,-6.1864236795752,6.15444597710178e-10,2.37079458496454e-09,"TTLL6","284076","tubulin tyrosine ligase like 6","GO:0000166",NA
"ENSG00000283503",51.7948627681243,3.04318898799,0.492054786045552,6.18465478701446,6.22385176830102e-10,2.39707941857649e-09,"LINC01902","105372079","long intergenic non-protein coding RNA 1902",NA,NA
"ENSG00000158292",277.566183706024,1.14023567617206,0.184373002919034,6.18439607816547,6.23406649306114e-10,2.4005615609105e-09,"GPR153","387509","G protein-coupled receptor 153","GO:0004930",NA
"ENSG00000188613",127.372420644173,1.36144461101379,0.220181437133883,6.18328515217183,6.2781159494459e-10,2.41706873227773e-09,"NANOS1","340719","nanos C2HC-type zinc finger 1","GO:0001558",NA
"ENSG00000174010",818.484739022932,0.769105738914042,0.124419528552901,6.18155162504923,6.34745954578981e-10,2.4433060784556e-09,"KLHL15","80311","kelch like family member 15","GO:0005515",NA
"ENSG00000136813",3025.84291130778,-0.649895323274872,0.105189644724105,-6.17832035633776,6.47871509533044e-10,2.49336062605803e-09,"ECPAS","23392","Ecm29 proteasome adaptor and scaffold","GO:0000502",NA
"ENSG00000103811",542.826727897911,-1.02312923408212,0.165622165827116,-6.17748976396136,6.51287966229358e-10,2.50603749985356e-09,"CTSH","1512","cathepsin H","GO:0001520","04142"
"ENSG00000231817",24.6976307369146,-5.78640688028249,0.936739098334716,-6.17718091469573,6.52562826715709e-10,2.51047068280418e-09,"LINC01198","101929344","long intergenic non-protein coding RNA 1198",NA,NA
"ENSG00000161533",882.579442646484,-0.707760501896833,0.114603405078972,-6.17573711190453,6.58554886355383e-10,2.53304629567495e-09,"ACOX1","51","acyl-CoA oxidase 1","GO:0000038","00071"
"ENSG00000120686",1451.01358221837,-0.533069022407518,0.0863343611196715,-6.17447115486973,6.63852994590936e-10,2.55294472727159e-09,"UFM1","51569","ubiquitin fold modifier 1","GO:0005515",NA
"ENSG00000188419",1032.58937078174,-0.691343668097133,0.111975395375505,-6.17406766708648,6.65550337931324e-10,2.55899100796715e-09,"CHM","1121","CHM Rab escort protein","GO:0004663",NA
"ENSG00000048342",477.09654556465,0.823271681444656,0.133352171475798,6.17366535792836,6.67246938259144e-10,2.56503215976147e-09,"CC2D2A","57545","coiled-coil and C2 domain containing 2A","GO:0001822",NA
"ENSG00000180376",559.003448275482,0.760793444523683,0.123234396525911,6.17354785653305,6.67743255560996e-10,2.56645777762123e-09,"CCDC66","285331","coiled-coil domain containing 66","GO:0000132",NA
"ENSG00000188107",39.2281403833539,2.76942878969177,0.448639569320647,6.17294812823884,6.70282079819158e-10,2.57573171946288e-09,"EYS","346007","EGF-like photoreceptor maintenance factor","GO:0001750",NA
"ENSG00000104219",673.816704949556,0.739442842913505,0.11979301504828,6.17267077396366,6.71459383402991e-10,2.57977116594819e-09,"ZDHHC2","51201","zDHHC palmitoyltransferase 2","GO:0000139",NA
"ENSG00000101544",992.464165726481,-0.680128710440992,0.110205153195484,-6.17147829044406,6.76544219469205e-10,2.59881915666528e-09,"ADNP2","22850","ADNP homeobox 2","GO:0000785",NA
"ENSG00000146374",81.027742036324,-2.22178862337663,0.360054714449607,-6.17069721409685,6.7989512636917e-10,2.61120067778471e-09,"RSPO3","84870","R-spondin 3","GO:0001525",NA
"ENSG00000198804",167557.770681874,-0.437690696890129,0.0709704910658878,-6.1672209155744,6.95006282020138e-10,2.66873540430297e-09,"MT-CO1","4512","cytochrome c oxidase subunit I","GO:0001666","00190"
"ENSG00000225313",111.335125858612,1.49983856572972,0.243199268400979,6.16711791771031,6.95458965628388e-10,2.66997243654818e-09,NA,NA,NA,NA,NA
"ENSG00000125656",494.042696149387,-0.87152903336801,0.141327983817094,-6.16671242190744,6.97243948155032e-10,2.67632294229896e-09,"CLPP","8192","caseinolytic mitochondrial matrix peptidase proteolytic subunit","GO:0004175",NA
